"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","shape_id"
"1","GO204_1765","GO204_172","Babylon","2","0","0"
"1","GO204_1765","GO204_173","Penn Station","3","1","1"
"1","GO204_1765","GO204_174","Babylon","4","0","0"
"1","GO204_1765","GO204_175","Penn Station","5","1","1"
"1","GO204_1765","GO204_176","Babylon","6","0","0"
"1","GO204_1765","GO204_177","Penn Station","7","1","1"
"1","GO204_1765","GO204_178","Babylon","8","0","0"
"1","GO204_1765","GO204_179","Penn Station","9","1","1"
"1","GO204_1765","GO204_1711","Penn Station","11","1","2"
"1","GO204_1765","GO204_1712","Babylon","12","0","0"
"1","GO204_1765","GO204_1713","Penn Station","13","1","1"
"1","GO204_1765","GO204_1714","Babylon","14","0","0"
"1","GO204_1765","GO204_1715","Atlantic Terminal","15","1","3"
"1","GO204_1765","GO204_1716","Babylon","16","0","0"
"1","GO204_1765","GO204_1717","Penn Station","17","1","1"
"1","GO204_1765","GO204_1718","Babylon","18","0","0"
"1","GO204_1765","GO204_1719","Penn Station","19","1","1"
"1","GO204_1765","GO204_1722","Babylon","22","0","0"
"1","GO204_1765","GO204_1724","Babylon","24","0","0"
"1","GO204_1765","GO204_1725","Penn Station","25","1","1"
"1","GO204_1765","GO204_1727","Atlantic Terminal","27","1","3"
"1","GO204_1765","GO204_1728","Babylon","28","0","0"
"1","GO204_1765","GO204_1729","Penn Station","29","1","1"
"1","GO204_1765","GO204_1731","Penn Station","31","1","1"
"1","GO204_1765","GO204_1732","Babylon","32","0","0"
"1","GO204_1765","GO204_1733","Atlantic Terminal","33","1","3"
"1","GO204_1765","GO204_1734","Babylon","34","0","0"
"1","GO204_1765","GO204_1735","Penn Station","35","1","1"
"1","GO204_1765","GO204_1736","Babylon","36","0","0"
"1","GO204_1765","GO204_1738","Babylon","38","0","0"
"1","GO204_1765","GO204_1739","Atlantic Terminal","39","1","3"
"1","GO204_1765","GO204_1742","Babylon","42","0","0"
"1","GO204_1765","GO204_1743","Penn Station","43","1","1"
"1","GO204_1765","GO204_1744","Babylon","44","0","0"
"1","GO204_1765","GO204_1745","Penn Station","45","1","1"
"1","GO204_1765","GO204_1746","Babylon","46","0","0"
"1","GO204_1765","GO204_1747","Penn Station","47","1","1"
"1","GO204_1765","GO204_1748","Babylon","48","0","0"
"1","GO204_1765","GO204_1749","Penn Station","49","1","1"
"1","GO204_1765","GO204_1751","Penn Station","51","1","1"
"1","GO204_1765","GO204_1752","Babylon","52","0","0"
"1","GO204_1765","GO204_1753","Penn Station","53","1","1"
"1","GO204_1765","GO204_1755","Penn Station","55","1","1"
"1","GO204_1765","GO204_1757","Penn Station","57","1","1"
"1","GO204_1765","GO204_1759","Penn Station","59","1","1"
"1","GO204_1765","GO204_1761","Penn Station","61","1","1"
"1","GO204_1765","GO204_1763","Penn Station","63","1","1"
"1","GO204_1765","GO204_1765","Penn Station","65","1","1"
"1","GO204_1765","GO204_1767","Penn Station","67","1","1"
"1","GO204_1765","GO204_1769","Penn Station","69","1","1"
"1","GO204_1765","GO204_17102","Babylon","102","0","0"
"1","GO204_1765","GO204_17103","Penn Station","103","1","1"
"1","GO204_1765","GO204_17104","Babylon","104","0","0"
"1","GO204_1765","GO204_17105","Penn Station","105","1","1"
"1","GO204_1765","GO204_17107","Penn Station","107","1","1"
"1","GO204_1765","GO204_17108","Babylon","108","0","0"
"1","GO204_1765","GO204_17109","Penn Station","109","1","1"
"1","GO204_1765","GO204_17110","Babylon","110","0","0"
"1","GO204_1765","GO204_17111","Penn Station","111","1","1"
"1","GO204_1765","GO204_17113","Penn Station","113","1","1"
"1","GO204_1765","GO204_17114","Babylon","114","0","0"
"1","GO204_1765","GO204_17115","Penn Station","115","1","1"
"1","GO204_1765","GO204_17117","Penn Station","117","1","1"
"1","GO204_1765","GO204_17119","Penn Station","119","1","1"
"1","GO204_1765","GO204_17120","Babylon","120","0","0"
"1","GO204_175","GO204_17122","Babylon","122","0","0"
"1","GO204_1765","GO204_17123","Penn Station","123","1","1"
"1","GO204_175","GO204_17124","Babylon","124","0","0"
"1","GO204_1765","GO204_17125","Penn Station","125","1","1"
"1","GO204_1765","GO204_17126","Babylon","126","0","0"
"1","GO204_1765","GO204_17127","Penn Station","127","1","1"
"1","GO204_175","GO204_17128","Babylon","128","0","0"
"1","GO204_1765","GO204_17129","Penn Station","129","1","1"
"1","GO204_1765","GO204_17131","Penn Station","131","1","1"
"1","GO204_1765","GO204_17132","Babylon","132","0","0"
"1","GO204_1765","GO204_17133","Penn Station","133","1","1"
"1","GO204_1765","GO204_17134","Babylon","134","0","0"
"1","GO204_1765","GO204_17135","Penn Station","135","1","1"
"1","GO204_175","GO204_17136","Babylon","136","0","0"
"1","GO204_1765","GO204_17137","Penn Station","137","1","1"
"1","GO204_1765","GO204_17138","Babylon","138","0","0"
"1","GO204_1765","GO204_17139","Penn Station","139","1","1"
"1","GO204_1765","GO204_17140","Babylon","140","0","0"
"1","GO204_1765","GO204_17142","Babylon","142","0","4"
"1","GO204_1765","GO204_17143","Penn Station","143","1","1"
"1","GO204_1765","GO204_17144","Babylon","144","0","5"
"1","GO204_1765","GO204_17145","Penn Station","145","1","1"
"1","GO204_1765","GO204_17146","Babylon","146","0","4"
"1","GO204_1765","GO204_17147","Penn Station","147","1","1"
"1","GO204_1765","GO204_17148","Babylon","148","0","5"
"1","GO204_1765","GO204_17149","Penn Station","149","1","1"
"1","GO204_1765","GO204_17150","Babylon","150","0","4"
"1","GO204_1765","GO204_17151","Penn Station","151","1","1"
"1","GO204_1765","GO204_17152","Babylon","152","0","5"
"1","GO204_1765","GO204_17153","Penn Station","153","1","1"
"1","GO204_1765","GO204_17154","Babylon","154","0","4"
"1","GO204_1765","GO204_17155","Penn Station","155","1","1"
"1","GO204_1765","GO204_17156","Babylon","156","0","5"
"1","GO204_1765","GO204_17157","Penn Station","157","1","1"
"1","GO204_1765","GO204_17158","Babylon","158","0","4"
"1","GO204_1765","GO204_17159","Penn Station","159","1","1"
"1","GO204_1765","GO204_17160","Babylon","160","0","5"
"1","GO204_1765","GO204_17161","Penn Station","161","1","1"
"1","GO204_1765","GO204_17162","Babylon","162","0","4"
"1","GO204_1765","GO204_17163","Penn Station","163","1","1"
"1","GO204_1765","GO204_17164","Babylon","164","0","0"
"1","GO204_1765","GO204_17166","Babylon","166","0","5"
"1","GO204_1765","GO204_17168","Babylon","168","0","0"
"1","GO204_1765","GO204_17170","Babylon","170","0","0"
"1","GO204_1765","GO204_17172","Babylon","172","0","0"
"1","GO204_1765","GO204_17174","Babylon","174","0","0"
"1","GO204_1765","GO204_17176","Babylon","176","0","0"
"1","GO204_1765","GO204_17180","Babylon","180","0","0"
"1","GO204_1765","GO204_17182","Babylon","182","0","0"
"1","GO204_1765","GO204_17184","Babylon","184","0","0"
"1","GO204_1765","GO204_17186","Babylon","186","0","0"
"1","GO204_1765","GO204_17188","Babylon","188","0","0"
"1","GO204_1765","GO204_17190","Babylon","190","0","0"
"1","GO204_1765","GO204_17192","Babylon","192","0","0"
"1","GO204_1765","GO204_17194","Babylon","194","0","0"
"1","GO204_1765","GO204_17196","Babylon","196","0","0"
